rozmiar,insert,remove
5000,79.9703,199.655
8000,78.4364,196.021
10000,79.4833,197.691
16000,79.3423,198.336
20000,78.8686,201.174
40000,83.6242,205.923
60000,79.3192,206.498
100000,80.1366,212.956
