rozmiar,insert,remove
5000,42.2795,65.9872
8000,43.6439,72.7397
10000,43.7595,76.4028
16000,44.5573,73.287
20000,43.4567,75.3553
40000,45.3241,83.9211
60000,42.1781,89.0497
100000,74.6192,142.135
